id,answer
level3_1,1111
level3_2,1111
level3_5,0001
level3_13,11
level3_14,1000
level3_17,1111
level3_22,1111
level3_27,10
level3_35,111
level3_42,10
level3_53,11111
level3_55,100
level3_76,001
level3_93,001
level3_96,100
level1_88,111
level1_120,1000
level1_94,0001
level1_37,010
level1_116,100
level1_38,111
level1_65,111
level1_110,111
level1_11,111
level1_118,0010
level1_41,11
level1_104,010
level1_92,111
level1_25,0100
level1_44,1000
level1_95,1000
level1_121,1111
level1_91,001
level1_107,111
level1_84,111
level1_21,100
level1_122,0100
level1_19,11
level1_98,001
level1_74,10
level1_83,001
level1_111,010
level1_72,111
level1_123,1000
level1_54,11111
level1_73,100
level1_64,100
level1_43,01
level1_97,111
level1_102,100
level1_26,10
level1_33,100
level1_86,010
level1_90,111
level1_100,010
level1_48,1000
level1_18,10
level1_113,111
level1_106,111
level1_7,100
level1_24,001
level1_79,0100
level1_40,100
level1_62,1000
level1_23,100
level1_10,001
level1_103,111
level1_105,111
level1_59,0001
level1_46,1111
level2_1,111
level2_2,111
level2_3,111
level2_10,0100
level2_11,001
level2_12,010
level2_16,0001
level2_17,1111
level2_18,0001
level2_23,111
level2_24,01000
level2_25,111
level2_29,1111
level2_30,1111
level2_31,111
level2_32,11111
level2_33,100
level2_34,1111
level2_35,111
level2_36,111
level2_36,1111
level2_37,1000
level2_38,1000
level2_39,1111
level2_40,1111
level4_4,0100
level4_9,1111
level4_27,1000
level4_28,1000
level4_35,111
