id,answer
level3_1,0110
level3_2,1001
level3_5,1000
level3_13,01
level3_14,1010
level3_17,1000
level3_22,1111
level3_27,10
level3_35,001
level3_42,01
level3_53,01000
level3_55,100
level3_76,001
level3_93,101
level3_96,100
level1_88,111
level1_120,0110
level1_94,1000
level1_37,100
level1_116,011
level1_38,011
level1_65,011
level1_110,100
level1_11,100
level1_118,0100
level1_41,10
level1_104,010
level1_92,111
level1_25,1000
level1_44,0110
level1_95,1000
level1_121,1111
level1_91,011
level1_107,110
level1_84,001
level1_21,111
level1_122,1100
level1_19,01
level1_98,101
level1_74,01
level1_83,011
level1_111,001
level1_72,010
level1_123,1000
level1_54,11100
level1_73,011
level1_64,100
level1_43,10
level1_97,001
level1_102,010
level1_26,11
level1_33,100
level1_86,111
level1_90,111
level1_100,111
level1_48,1000
level1_18,10
level1_113,101
level1_106,111
level1_7,110
level1_24,110
level1_79,1010
level1_40,101
level1_62,1111
level1_23,111
level1_10,011
level1_103,111
level1_105,111
level1_59,1111
level1_46,1000
level2_1,001
level2_2,101
level2_3,110
level2_10,0110
level2_11,111
level2_12,010
level2_16,1000
level2_17,1000
level2_18,1100
level2_23,100
level2_24,00001
level2_25,001
level2_29,0100
level2_30,1111
level2_31,111
level2_32,11111
level2_33,111
level2_34,1111
level2_35,111
level2_36,110
level2_36,1001
level2_37,1100
level2_38,0101
level2_39,1111
level2_40,1111
level4_4,1110
level4_9,0101
level4_27,0011
level4_28,0011
level4_35,111
